month,t,cm1
1986-06,1,6.73
1986-07,2,6.27
1986-08,3,5.93
1986-09,4,5.77
1986-10,5,5.72
1986-11,6,5.8
1986-12,7,5.87
1987-01,8,5.78
1987-02,9,5.96
1987-03,10,6.03
1987-04,11,6.5
1987-05,12,7.0
1987-06,13,6.8
1987-07,14,6.68
1987-08,15,7.03
1987-09,16,7.67
1987-10,17,7.59
1987-11,18,6.96
1987-12,19,7.17
1988-01,20,6.99
1988-02,21,6.64
1988-03,22,6.71
1988-04,23,7.01
1988-05,24,7.4
1988-06,25,7.49
1988-07,26,7.75
1988-08,27,8.17
1988-09,28,8.09
1988-10,29,8.11
1988-11,30,8.48
1988-12,31,8.99
1989-01,32,9.05
1989-02,33,9.25
1989-03,34,9.57
1989-04,35,9.36
1989-05,36,8.98
1989-06,37,8.44
